"Site Crawled","http://restart/"
"Date","Tuesday, Aug. 18, 2020"
"Time","13:22:52 EDT"
""
"Summary","Number of URLs","% of Total URLs","Total URLs","Total URLs Description"
"No GSC Data","0","0.00%","1","Internal URLs with associated Google Search Console data"
"Non-Indexable with GSC Data","0","0.00%","1","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","1","Internal URLs with associated Google Search Console data"
""
"Link Metrics"
"All","1","100.00%","1","Internal HTML/PDF pages"
""
""
"Depth (Clicks from Start URL)"
"0","0","0.00%","0","Internal HTML pages with 2xx response"
"1","0","0.00%","0","Internal HTML pages with 2xx response"
"2","0","0.00%","0","Internal HTML pages with 2xx response"
"3","0","0.00%","0","Internal HTML pages with 2xx response"
"4","0","0.00%","0","Internal HTML pages with 2xx response"
"5","0","0.00%","0","Internal HTML pages with 2xx response"
"6","0","0.00%","0","Internal HTML pages with 2xx response"
"7","0","0.00%","0","Internal HTML pages with 2xx response"
"8","0","0.00%","0","Internal HTML pages with 2xx response"
"9","0","0.00%","0","Internal HTML pages with 2xx response"
"10+","0","0.00%","0","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
""
"Response Time (Seconds)","Number of URLs","% of Total"
