"Address","Content","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keyword 1","Meta Keywords 1 Length","H1-1","H1-1 length","H1-2","H1-2 length","H2-1","H2-1 length","H2-2","H2-2 length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","Size (bytes)","Word Count","Text Ratio","Crawl Depth","Link Score","Inlinks","Unique Inlinks","% of Total","Outlinks","Unique Outlinks","External Outlinks","Unique External Outlinks","Closest Similarity Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","URL Encoded Address"
"https://www.drupal.com/sites/default/files/inline-images/Wordmark_white_RGB_0.png","image/png","200","OK","Indexable","","","0","0","","0","0","","0","","0","","0","","0","","0","","","","","","","","","7596","0","0.000","2","","0","0","0.000","0","0","","","","","","","","0.331","Mon, 01 Jun 2020 18:04:43 GMT","","","https://www.drupal.com/sites/default/files/inline-images/Wordmark_white_RGB_0.png"
"https://www.drupal.com/contact/case-study-submission","text/html; charset=UTF-8","200","OK","Indexable","","Case Study Submission | Drupal.com","34","330","Drupal is a scalable, open platform for web content management and digital experiences. Drupal provides deep capabilities and endless flexibility on the web.","157","969","","0","Case Study Submission","21","","0","Mega Menu","9","Share Your Drupal Case Study with Drupal.com","44","","","","","","","","","36780","603","11.055","2","92","61","59","100.000","22","19","","","","","","","5f4163bb02a0b709892dca086045d1ba","0.136","Sun, 19 Jul 2020 05:04:05 GMT","","","https://www.drupal.com/contact/case-study-submission"
"https://www.drupal.com/contact","text/html; charset=UTF-8","200","OK","Indexable","","General Inquiries | Drupal.com","30","269","Drupal is a scalable, open platform for web content management and digital experiences. Drupal provides deep capabilities and endless flexibility on the web.","157","969","","0","General Inquiries","17","","0","Mega Menu","9","","0","","","","","","","","","34855","345","7.264","2","91","68","59","100.000","22","18","","","","","","","ed5a0706903a7655d6842f19315d0ef8","0.196","Sun, 19 Jul 2020 07:19:29 GMT","","","https://www.drupal.com/contact"
"https://www.drupal.com/why-use-drupal","text/html; charset=UTF-8","200","OK","Indexable","","Why Use Drupal | Drupal.com","27","265","Drupal is a scalable, open platform for web content management and digital experiences. Drupal provides deep capabilities and endless flexibility on the web.","157","969","","0","Why Use Drupal","14","","0","Mega Menu","9","Web Content Management","22","","","","","","","","","31607","392","9.064","2","91","62","59","100.000","21","17","","","","","","","c3470bda7ab964248f3a338fef1aa194","0.163","Sun, 19 Jul 2020 05:15:36 GMT","","","https://www.drupal.com/why-use-drupal"
"https://www.drupal.com/feature/drupal-content-authoring","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Easy Content Authoring | Drupal.com","35","327","Drupal is a scalable, open platform for web content management and digital experiences. Drupal provides deep capabilities and endless flexibility on the web.","157","969","","0","Easy Content Authoring","22","","0","Mega Menu","9","Content management at your fingertips","37","","","","http://www.drupal.com/feature/drupal-content-authoring","","","","","36322","609","11.492","2","","62","59","100.000","19","17","","","","","","","330f13c4fafa6909b4646b8eab9d6a45","0.173","Sun, 19 Jul 2020 15:18:58 GMT","","","https://www.drupal.com/feature/drupal-content-authoring"
"https://www.drupal.com/feature/security","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Security | Drupal.com","21","190","Drupal is a scalable, open platform for web content management and digital experiences. Drupal provides deep capabilities and endless flexibility on the web.","157","969","","0","Security","8","","0","Mega Menu","9","Dedicated Security Team","23","","","","http://www.drupal.com/feature/security","","","","","40127","983","17.189","2","","63","59","100.000","19","17","","","","","","","6c02845e633f2578900e347a24955af2","0.165","Sun, 19 Jul 2020 10:46:19 GMT","","","https://www.drupal.com/feature/security"
"https://www.drupal.com/feature/drupal-scalability","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Highly Scalable | Drupal.com","28","256","Drupal is a scalable, open platform for web content management and digital experiences. Drupal provides deep capabilities and endless flexibility on the web.","157","969","","0","Highly Scalable","15","","0","Mega Menu","9","Scalability for Serious Sites","29","","","","http://www.drupal.com/feature/drupal-scalability","","","","","34815","569","11.131","2","","62","59","100.000","19","17","","","","","","","d424ce541781c281cbed21fccad363ae","0.153","Sun, 19 Jul 2020 03:10:06 GMT","","","https://www.drupal.com/feature/drupal-scalability"
"https://www.drupal.com/trademark","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Drupal trademark and logo policy | Drupal.com","45","409","The Drupal trademark is owned and controlled by Dries Buytaert, who cooperates with the Drupal Association and local non-profit associations to foster the use of the Drupal software.","182","1133","","0","Drupal trademark and logo policy","32","","0","Mega Menu","9","1. Background information","25","","","","http://www.drupal.com/trademark","","","","","50906","3281","40.704","2","","61","59","100.000","24","22","","","","","","","b7acc8afdce711d22417e03eae023196","0.249","Sun, 19 Jul 2020 09:01:54 GMT","","","https://www.drupal.com/trademark"
"https://www.drupal.com/product/web-content-management","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","What is Drupal? | Drupal for Web Content Management","51","489","Drupal is a free, open-source web content management platform for content, community and commerce. Drupal powers some of the busiest sites on the web including WhiteHouse.gov, Stanford University, Warner Music Group and teslamotors.com.","236","1533","","0","Drupal for Web Content Management","33","Drupal for Web Content Management","33","Mega Menu","9","Real World Results","18","","","","http://www.drupal.com/product/web-content-management","","","","","52502","1408","18.363","2","","62","59","100.000","25","17","","","","","","","bf4598ed4f443dfdc2baa1d6dd599fa","0.157","Sun, 19 Jul 2020 11:50:31 GMT","","","https://www.drupal.com/product/web-content-management"
"https://www.drupal.com/feature/multilingual","text/html; charset=UTF-8","200","OK","Non-Indexable","Canonicalised","Multilingual | Drupal.com","25","219","Drupal is a scalable, open platform for web content management and digital experiences. Drupal provides deep capabilities and endless flexibility on the web.","157","969","","0","Multilingual","12","","0","Mega Menu","9","Drupal: The Multilingual Platform","33","","","","http://www.drupal.com/feature/multilingual","","","","","36203","689","13.550","2","","62","59","100.000","19","17","","","","","","","bec1b50d6a7106139df18fc0a7f5640f","0.185","Sun, 19 Jul 2020 02:51:03 GMT","","","https://www.drupal.com/feature/multilingual"
