"Site Crawled","http://www.drupal.com/"
"Date","Monday, Aug 24, 2020"
"Time","12:04:03 EDT"
""
"Summary","Number of URLs","% of Total URLs","Total URLs","Total URLs Description"
"XML Sitemap over 50MB","0","0.00%","110","Internal HTML/XML pages"
""
"PageSpeed"
"All","59","100.00%","59","PageSpeed Data"
"Eliminate Render-Blocking Resources","0","0.00%","59","PageSpeed Data"
"Properly Size Images","0","0.00%","59","PageSpeed Data"
"Defer Offscreen Images","0","0.00%","59","PageSpeed Data"
"Minify CSS","0","0.00%","59","PageSpeed Data"
"Minify Javascript","0","0.00%","59","PageSpeed Data"
"Remove Unused CSS","0","0.00%","59","PageSpeed Data"
"Efficiently Encode Images","0","0.00%","59","PageSpeed Data"
"Serve Images in Next-Gen Formats","0","0.00%","59","PageSpeed Data"
"Enable Text Compression","0","0.00%","59","PageSpeed Data"
"Preconnect to Required Origins","0","0.00%","59","PageSpeed Data"
"Reduce Server Response Times (TTFB)","0","0.00%","59","PageSpeed Data"
"Avoid Multiple Page Redirects","0","0.00%","59","PageSpeed Data"
"Preload Key Requests","0","0.00%","59","PageSpeed Data"
"Use Video Formats for Animated Content","0","0.00%","59","PageSpeed Data"
"Avoid Excessive DOM Size","0","0.00%","59","PageSpeed Data"
"Reduce JavaScript Execution Time","0","0.00%","59","PageSpeed Data"
"Serve Static Assets with an Efficient Cache Policy","0","0.00%","59","PageSpeed Data"
"Minimize Main-Thread Work","0","0.00%","59","PageSpeed Data"
"Ensure Text Remains Visible During Webfont Load","0","0.00%","59","PageSpeed Data"
"Request Errors","0","0.00%","59","PageSpeed Data"
""
"Custom Search"
"All","0","0.00%","0","Internal HTML pages with 2xx response"
""
"Custom Extraction"
"All","0","0.00%","0","Internal HTML pages with 2xx response"
""
"Analytics"
"All","63","100.00%","63","Internal URLs with associated Google Analytics data"
"Sessions Above 0","0","0.00%","63","Internal URLs with associated Google Analytics data"
"Bounce Rate Above 70%","0","0.00%","63","Internal URLs with associated Google Analytics data"
"No GA Data","0","0.00%","63","Internal URLs with associated Google Analytics data"
"Non-Indexable with GA Data","0","0.00%","63","Internal URLs with associated Google Analytics data"
"Orphan URLs","0","0.00%","63","Internal URLs with associated Google Analytics data"
""
"Search Console"
"All","63","100.00%","63","Internal URLs with associated Google Search Console data"
"Clicks Above 0","0","0.00%","63","Internal URLs with associated Google Search Console data"
"No GSC Data","0","0.00%","63","Internal URLs with associated Google Search Console data"
"Non-Indexable with GSC Data","0","0.00%","63","Internal URLs with associated Google Search Console data"
"Orphan URLs","0","0.00%","63","Internal URLs with associated Google Search Console data"
""
"Link Metrics"
"All","109","100.00%","109","Link Metrics All"
""
""
"Depth (Clicks from Start URL)"
"0","0","0.00%","59","Internal HTML pages with 2xx response"
"1","1","1.69%","59","Internal HTML pages with 2xx response"
"2","16","27.12%","59","Internal HTML pages with 2xx response"
"3","41","69.49%","59","Internal HTML pages with 2xx response"
"4","0","0.00%","59","Internal HTML pages with 2xx response"
"5","0","0.00%","59","Internal HTML pages with 2xx response"
"6","1","1.69%","59","Internal HTML pages with 2xx response"
"7","0","0.00%","59","Internal HTML pages with 2xx response"
"8","0","0.00%","59","Internal HTML pages with 2xx response"
"9","0","0.00%","59","Internal HTML pages with 2xx response"
"10+","0","0.00%","59","Internal HTML pages with 2xx response"
""
"Inlinks (Top 20 URLs)"
"https://www.drupal.com/feature/drupal-content-authoring","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/feature/security","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/contact","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/feature/drupal-scalability","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/showcases","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/get-started-with-drupal","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/product/commerce","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/why-use-drupal","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/advertise","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/contact/advertising","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/product/web-content-management","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/feature/multilingual","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/trademark","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/contact/case-study-submission","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/case-study/economist-espresso-app-drupal","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/feature/content-as-a-service","59","100.00%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/case-study/timex","33","55.93%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/case-study/fiji-travel","33","55.93%","59","Internal HTML pages with a 2xx response or 3xx responses"
"https://www.drupal.com/case-study/greenpeace-greenwire","32","54.24%","59","Internal HTML pages with a 2xx response or 3xx responses"
""
"Response Time (Seconds)","Number of URLs","% of Total"
"1","478","99.38"
"2","3","0.62"
